trip_id,run_id,session_key,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
97,7,20260702_115808,1,2,load_zone_26,dump_zone_3,63585.519,63687.602,63690.685,63695.935,63823.685,63826.769,102.08,3.08,127.75,3.08,246.0,1000.0,0.8026,2.151038
98,7,20260702_115808,1,3,load_zone_26,dump_zone_3,63831.602,63930.435,63933.519,63938.935,64063.685,64066.769,98.83,3.08,124.75,3.08,240.0,1000.0,0.7841,2.101341
99,7,20260702_115808,1,4,load_zone_26,dump_zone_3,64072.685,64172.935,64176.019,64181.519,64305.435,64308.519,100.25,3.08,123.92,3.08,241.75,1000.0,0.7896,2.116171
100,7,20260702_115808,1,5,load_zone_26,dump_zone_3,64314.019,64415.935,64419.019,64423.435,64552.602,64555.685,101.92,3.08,129.17,3.08,247.17,1000.0,0.8048,2.156778
101,7,20260702_115808,1,6,load_zone_26,dump_zone_3,64560.352,64663.769,64666.852,64671.519,64796.102,64799.185,103.42,3.08,124.58,3.08,243.5,1000.0,0.7951,2.130806
102,7,20260702_115808,1,7,load_zone_26,dump_zone_3,64804.519,64905.269,64908.352,64914.185,65039.685,65042.769,100.75,3.08,125.5,3.08,243.58,1000.0,0.794,2.127917
103,8,20260702_121629,1,1,load_zone_22,dump_zone_23,,65225.685,65228.769,65234.435,65277.185,65280.269,,3.08,42.75,3.08,104.33,1000.0,0.3361,0.900618
104,8,20260702_121629,3,1,load_zone_22,dump_zone_22,,65209.685,65212.769,65218.269,65283.519,65286.602,,3.08,65.25,3.08,110.67,1000.0,0.3564,0.955203
105,8,20260702_121629,3,2,load_zone_22,dump_zone_23,65287.685,65332.435,65335.519,65341.019,65387.019,65390.102,44.75,3.08,46.0,3.08,103.5,1000.0,0.3337,0.894403
106,8,20260702_121629,1,2,load_zone_22,dump_zone_22,65285.102,65320.602,65323.685,65328.435,65393.935,65397.019,35.5,3.08,65.5,3.08,116.75,1000.0,0.3753,1.00569
107,8,20260702_121629,2,1,load_zone_26,dump_zone_3,,65305.185,65308.269,65312.852,65438.602,65441.685,,3.08,125.75,3.08,265.75,1000.0,0.8694,2.329919
108,8,20260702_121629,3,3,load_zone_22,dump_zone_22,65393.185,65431.352,65434.435,65434.769,65490.352,65493.435,38.17,3.08,55.58,3.08,103.33,1000.0,0.3332,0.893084
109,8,20260702_121629,1,3,load_zone_22,dump_zone_23,65398.185,65441.185,65444.269,65449.935,65492.935,65496.019,43.0,3.08,43.0,3.08,99.0,1000.0,0.32,0.857562
110,8,20260702_121629,1,4,load_zone_22,dump_zone_23,65500.435,65554.019,65557.102,65558.685,65603.519,65606.602,53.58,3.08,44.83,3.08,110.58,1000.0,0.3569,0.95635
